DATE,DODFS
1945-10-01,5.692
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,5.245
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,5.26
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,7.301
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,8.617
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,11.335
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,12.151
1952-01-01,11.526
1952-04-01,12.90
1952-07-01,12.646
1952-10-01,14.027
1953-01-01,13.616
1953-04-01,14.36
1953-07-01,15.478
1953-10-01,16.019
1954-01-01,15.003
1954-04-01,15.99
1954-07-01,16.085
1954-10-01,16.636
1955-01-01,16.687
1955-04-01,17.807
1955-07-01,18.669
1955-10-01,19.865
1956-01-01,20.358
1956-04-01,20.916
1956-07-01,21.319
1956-10-01,21.92
1957-01-01,22.053
1957-04-01,22.777
1957-07-01,23.902
1957-10-01,24.937
1958-01-01,25.326
1958-04-01,26.409
1958-07-01,24.364
1958-10-01,25.67
1959-01-01,26.024
1959-04-01,28.357
1959-07-01,30.187
1959-10-01,32.324
1960-01-01,33.041
1960-04-01,34.772
1960-07-01,35.817
1960-10-01,37.709
1961-01-01,35.794
1961-04-01,37.235
1961-07-01,38.072
1961-10-01,40.94
1962-01-01,39.917
1962-04-01,41.317
1962-07-01,43.018
1962-10-01,46.345
1963-01-01,44.018
1963-04-01,47.671
1963-07-01,50.338
1963-10-01,54.125
1964-01-01,53.177
1964-04-01,57.749
1964-07-01,58.175
1964-10-01,61.043
1965-01-01,60.637
1965-04-01,66.508
1965-07-01,65.816
1965-10-01,70.15
1966-01-01,70.819
1966-04-01,77.287
1966-07-01,76.635
1966-10-01,81.898
1967-01-01,80.112
1967-04-01,79.412
1967-07-01,81.315
1967-10-01,85.926
1968-01-01,85.671
1968-04-01,91.323
1968-07-01,93.921
1968-10-01,98.996
1969-01-01,97.066
1969-04-01,106.38
1969-07-01,109.957
1969-10-01,122.797
1970-01-01,127.173
1970-04-01,132.327
1970-07-01,132.533
1970-10-01,139.512
1971-01-01,137.222
1971-04-01,136.894
1971-07-01,139.706
1971-10-01,150.061
1972-01-01,150.912
1972-04-01,156.528
1972-07-01,160.46
1972-10-01,175.76
1973-01-01,175.918
1973-04-01,189.218
1973-07-01,201.22
1973-10-01,215.065
1974-01-01,215.509
1974-04-01,229.93
1974-07-01,246.173
1974-10-01,258.627
1975-01-01,254.517
1975-04-01,255.697
1975-07-01,253.28
1975-10-01,269.285
1976-01-01,269.98
1976-04-01,276.394
1976-07-01,282.284
1976-10-01,302.149
1977-01-01,300.148
1977-04-01,317.054
1977-07-01,326.978
1977-10-01,357.794
1978-01-01,361.273
1978-04-01,387.833
1978-07-01,401.788
1978-10-01,435.869
1979-01-01,444.461
1979-04-01,476.182
1979-07-01,498.967
1979-10-01,533.822
1980-01-01,548.651
1980-04-01,566.063
1980-07-01,581.797
1980-10-01,615.271
1981-01-01,616.723
1981-04-01,653.857
1981-07-01,691.212
1981-10-01,717.712
1982-01-01,724.939
1982-04-01,765.686
1982-07-01,781.265
1982-10-01,817.162
1983-01-01,819.952
1983-04-01,851.396
1983-07-01,881.529
1983-10-01,924.353
1984-01-01,940.155
1984-04-01,987.151
1984-07-01,1032.423
1984-10-01,1094.786
1985-01-01,1120.588
1985-04-01,1180.118
1985-07-01,1244.709
1985-10-01,1328.602
1986-01-01,1383.438
1986-04-01,1470.167
1986-07-01,1556.631
1986-10-01,1668.311
1987-01-01,1737.711
1987-04-01,1827.174
1987-07-01,1898.408
1987-10-01,1936.673
1988-01-01,1972.545
1988-04-01,2043.826
1988-07-01,2096.129
1988-10-01,2181.135
1989-01-01,2282.698
1989-04-01,2336.536
1989-07-01,2362.451
1989-10-01,2433.969
1990-01-01,2463.754
1990-04-01,2512.543
1990-07-01,2558.375
1990-10-01,2647.008
1991-01-01,2671.252
1991-04-01,2704.447
1991-07-01,2753.596
1991-10-01,2828.343
1992-01-01,2875.04
1992-04-01,2954.449
1992-07-01,3022.395
1992-10-01,3075.069
1993-01-01,3155.622
1993-04-01,3223.306
1993-07-01,3336.652
1993-10-01,3432.23
1994-01-01,3579.923
1994-04-01,3670.341
1994-07-01,3768.052
1994-10-01,3900.378
1995-01-01,3987.462
1995-04-01,4092.574
1995-07-01,4213.372
1995-10-01,4367.231
1996-01-01,4481.944
1996-04-01,4635.696
1996-07-01,4737.303
1996-10-01,4930.615
1997-01-01,5007.72
1997-04-01,5189.644
1997-07-01,5288.889
1997-10-01,5476.183
1998-01-01,5716.063
1998-04-01,5986.296
1998-07-01,6251.273
1998-10-01,6507.468
1999-01-01,6794.482
1999-04-01,7060.91
1999-07-01,7342.547
1999-10-01,7609.471
2000-01-01,7833.59
2000-04-01,8046.48
2000-07-01,8229.651
2000-10-01,8495.421
2001-01-01,8692.722
2001-04-01,8917.453
2001-07-01,9273.127
2001-10-01,9496.942
2002-01-01,9677.507
2002-04-01,9847.407
2002-07-01,10044.896
2002-10-01,10316.68
2003-01-01,10646.209
2003-04-01,10966.446
2003-07-01,11225.761
2003-10-01,11352.52
2004-01-01,11591.953
2004-04-01,11826.039
2004-07-01,12063.807
2004-10-01,12395.227
2005-01-01,12630.392
2005-04-01,12940.913
2005-07-01,13018.286
2005-10-01,13446.14
2006-01-01,13802.299
2006-04-01,14222.436
2006-07-01,14472.559
2006-10-01,14866.232
2007-01-01,15437.086
2007-04-01,15895.651
2007-07-01,16531.257
2007-10-01,16995.834
2008-01-01,17359.385
2008-04-01,17560.846
2008-07-01,17835.643
2008-10-01,17643.774
2009-01-01,17126.485
2009-04-01,16599.177
2009-07-01,16179.644
2009-10-01,15751.081
2010-01-01,15142.535
2010-04-01,14895.789
2010-07-01,14680.173
2010-10-01,14722.161
2011-01-01,14655.382
2011-04-01,14527.983
2011-07-01,14356.608
2011-10-01,14171.838
2012-01-01,14175.829
2012-04-01,13967.876
2012-07-01,14079.558
2012-10-01,13921.519
2013-01-01,13971.341
2013-04-01,13943.353
2013-07-01,13883.286
2013-10-01,14076.37
2014-01-01,14071.843
2014-04-01,14094.821
2014-07-01,14242.971
2014-10-01,14328.34
2015-01-01,14302.72
2015-04-01,14385.642
2015-07-01,14443.706
2015-10-01,14302.039
2016-01-01,14460.66
2016-04-01,14571.706
2016-07-01,14573.13
2016-10-01,14548.528
2017-01-01,14608.945
2017-04-01,14730.277
2017-07-01,14886.514
2017-10-01,14848.269
2018-01-01,14896.851
2018-04-01,14916.464
2018-07-01,14986.555
2018-10-01,15090.286
2019-01-01,15157.21
2019-04-01,15287.895
2019-07-01,15454.47
2019-10-01,15483.495
2020-01-01,16636.686
2020-04-01,16170.137
2020-07-01,16168.151
2020-10-01,16440.637
2021-01-01,16690.503
2021-04-01,17328.663
2021-07-01,17542.156
2021-10-01,17724.261
2022-01-01,18294.436
2022-04-01,18591.77
2022-07-01,18859.752
2022-10-01,19346.815
2023-01-01,19937.861
2023-04-01,19629.555
2023-07-01,19513.237
2023-10-01,19684.657
