DATE,GPDIC1
1950-01-01,257.271
1950-04-01,284.803
1950-07-01,309.285
1950-10-01,348.585
1951-01-01,312.966
1951-04-01,320.221
1951-07-01,296.643
1951-10-01,273.007
1952-01-01,280.13
1952-04-01,259.01
1952-07-01,272.895
1952-10-01,292.552
1953-01-01,298.847
1953-04-01,300.547
1953-07-01,294.261
1953-10-01,272.998
1954-01-01,271.041
1954-04-01,270.402
1954-07-01,283.451
1954-10-01,295.882
1955-01-01,325.442
1955-04-01,345.235
1955-07-01,350.533
1955-10-01,358.661
1956-01-01,348.42
1956-04-01,345.678
1956-07-01,342.583
1956-10-01,339.406
1957-01-01,334.137
1957-04-01,333.798
1957-07-01,341.451
1957-10-01,315.195
1958-01-01,293.932
1958-04-01,288.01
1958-07-01,310.114
1958-10-01,336.555
1959-01-01,354.894
1959-04-01,382.5
1959-07-01,357.798
1959-10-01,369.442
1960-01-01,406.581
1960-04-01,368.686
1960-07-01,367.749
1960-10-01,327.01
1961-01-01,335.496
1961-04-01,359.004
1961-07-01,386.914
1961-10-01,393.316
1962-01-01,414.522
1962-04-01,411.253
1962-07-01,418.241
1962-10-01,406.004
1963-01-01,427.366
1963-04-01,434.164
1963-07-01,447.531
1963-10-01,452.965
1964-01-01,469.918
1964-04-01,468.225
1964-07-01,479.154
1964-10-01,483.706
1965-01-01,529.824
1965-04-01,531.216
1965-07-01,549.712
1965-10-01,553.352
1966-01-01,597.563
1966-04-01,588.717
1966-07-01,584.373
1966-10-01,587.798
1967-01-01,573.373
1967-04-01,552.629
1967-07-01,568.833
1967-10-01,581.104
1968-01-01,592.754
1968-04-01,615.427
1968-07-01,598.643
1968-10-01,605.155
1969-01-01,640.79
1969-04-01,637.015
1969-07-01,649.948
1969-10-01,618.565
1970-01-01,600.116
1970-04-01,601.421
1970-07-01,611.208
1970-10-01,578.757
1971-01-01,646.232
1971-04-01,664.569
1971-07-01,672.632
1971-10-01,654.519
1972-01-01,697.648
1972-04-01,737.276
1972-07-01,747.745
1972-10-01,752.434
1973-01-01,796.53
1973-04-01,830.483
1973-07-01,800.37
1973-10-01,828.879
1974-01-01,781.544
1974-04-01,778.425
1974-07-01,738.08
1974-10-01,742.56
1975-01-01,622.949
1975-04-01,604.403
1975-07-01,651.26
1975-10-01,669.438
1976-01-01,734.031
1976-04-01,763.083
1976-07-01,765.742
1976-10-01,771.471
1977-01-01,807.213
1977-04-01,865.083
1977-07-01,908.859
1977-10-01,886.06
1978-01-01,903.329
1978-04-01,962.001
1978-07-01,990.029
1978-10-01,1012.924
1979-01-01,1014.607
1979-04-01,1013.693
1979-07-01,996.622
1979-10-01,978.943
1980-01-01,972.248
1980-04-01,889.579
1980-07-01,830.866
1980-10-01,908.306
1981-01-01,992.376
1981-04-01,951.246
1981-07-01,1004.861
1981-10-01,969.475
1982-01-01,877.772
1982-04-01,877.104
1982-07-01,869.067
1982-10-01,801.889
1983-01-01,829.672
1983-04-01,903.148
1983-07-01,959.692
1983-10-01,1053.054
1984-01-01,1154.826
1984-04-01,1192.381
1984-07-01,1218.184
1984-10-01,1202.383
1985-01-01,1169.416
1985-04-01,1189.334
1985-07-01,1181.226
1985-10-01,1224.763
1986-01-01,1224.404
1986-04-01,1203.028
1986-07-01,1170.667
1986-10-01,1174.171
1987-01-01,1205.858
1987-04-01,1206.486
1987-07-01,1206.662
1987-10-01,1288.881
1988-01-01,1227.008
1988-04-01,1256.243
1988-07-01,1263.222
1988-10-01,1282.499
1989-01-01,1326.029
1989-04-01,1313.202
1989-07-01,1301.412
1989-10-01,1291.758
1990-01-01,1304.586
1990-04-01,1304.993
1990-07-01,1279.695
1990-10-01,1208.107
1991-01-01,1167.908
1991-04-01,1167.904
1991-07-01,1191.028
1991-10-01,1233.261
1992-01-01,1210.478
1992-04-01,1278.935
1992-07-01,1289.101
1992-10-01,1328.433
1993-01-01,1359.751
1993-04-01,1367.575
1993-07-01,1358.287
1993-10-01,1429.661
1994-01-01,1484.116
1994-04-01,1557.107
1994-07-01,1531.67
1994-10-01,1594.684
1995-01-01,1611.428
1995-04-01,1577.96
1995-07-01,1568.555
1995-10-01,1607.513
1996-01-01,1633.332
1996-04-01,1711.813
1996-07-01,1789.565
1996-10-01,1787.19
1997-01-01,1823.255
1997-04-01,1935.157
1997-07-01,1962.053
1997-10-01,1990.86
1998-01-01,2078.205
1998-04-01,2065.336
1998-07-01,2118.989
1998-10-01,2183.382
1999-01-01,2243.548
1999-04-01,2244.682
1999-07-01,2306.47
1999-10-01,2367.988
2000-01-01,2351.223
2000-04-01,2490.501
2000-07-01,2466.375
2000-10-01,2471.534
2001-01-01,2358.969
2001-04-01,2362.652
2001-07-01,2311.409
2001-10-01,2196.554
2002-01-01,2262.071
2002-04-01,2298.939
2002-07-01,2295.983
2002-10-01,2293.746
2003-01-01,2312.465
2003-04-01,2327.492
2003-07-01,2411.638
2003-10-01,2493.928
2004-01-01,2498.14
2004-04-01,2597.507
2004-07-01,2638.672
2004-10-01,2693.575
2005-01-01,2769.261
2005-04-01,2733.225
2005-07-01,2769.106
2005-10-01,2857.35
2006-01-01,2899.229
2006-04-01,2882.564
2006-07-01,2871.589
2006-10-01,2818.228
2007-01-01,2800.037
2007-04-01,2827.01
2007-07-01,2794.526
2007-10-01,2762.518
2008-01-01,2686.998
2008-04-01,2641.85
2008-07-01,2589.254
2008-10-01,2338.938
2009-01-01,2073.135
2009-04-01,1952.641
2009-07-01,1946.867
2009-10-01,2128.516
2010-01-01,2174.335
2010-04-01,2288.469
2010-07-01,2390.072
2010-10-01,2383.297
2011-01-01,2338.901
2011-04-01,2434.538
2011-07-01,2445.296
2011-10-01,2633.829
2012-01-01,2692.179
2012-04-01,2752.614
2012-07-01,2759.86
2012-10-01,2736.423
2013-01-01,2845.38
2013-04-01,2882.489
2013-07-01,2998.991
2013-10-01,3027.805
2014-01-01,2998.148
2014-04-01,3121.321
2014-07-01,3193.152
2014-10-01,3203.351
2015-01-01,3314.895
2015-04-01,3328.049
2015-07-01,3335.27
2015-10-01,3315.334
2016-01-01,3301.09
2016-04-01,3287.033
2016-07-01,3301.079
2016-10-01,3391.749
2017-01-01,3382.703
2017-04-01,3435.929
2017-07-01,3493.166
2017-10-01,3558.859
2018-01-01,3612.936
2018-04-01,3612.389
2018-07-01,3722.248
2018-10-01,3724.752
2019-01-01,3751.76
2019-04-01,3778.211
2019-07-01,3818.108
2019-10-01,3773.236
